"title","artist","id","source"
"Before You Go","Lewis Capaldi","1404805139","CSV"
"Say You Won't Let Go","James Arthur","429528027","CSV"
"Impossible","James Arthur","25706371","CSV"
"Let Her Go","Passenger","18161816","CSV"
"I'm Not The Only One","Sam Smith","28586064","CSV"
"Too Good At Goodbyes","Sam Smith","504492140","CSV"
"Arcade","Duncan Laurence","1350601781","CSV"
"Skyfall","Adele","","SEARCH"
"Jar of Hearts","Christina Perri","17081098","CSV"
"Say Something","A Great Big World","28208046","CSV"
"Stay With Me","Sam Smith","28531849","CSV"
"Burn","Ellie Goulding","26608879","CSV"
"Can't Help Falling in Love","Elvis Presley","1470274244","CSV"
"My Love","Westlife","26867112","CSV"
"I Love You 3000","Stephanie Poetri","1374446646","CSV"
"Right Here Waiting","Richard Marx","21568021","CSV"
"Shallow","Lady Gaga / Bradley Cooper","1313096578","CSV"
"All By Myself","Celine Dion","","SEARCH"
"When You Say Nothing At All","Ronan Keating","","SEARCH"
"The Night We Met","Lord Huron","","SEARCH"
"Hey There Delilah","Plain White T's","","SEARCH"
"Make You Feel My Love","Adele","","SEARCH"
"Falling","Harry Styles","","SEARCH"
"Sparks","Coldplay","","SEARCH"
"All I Want","Kodaline","","SEARCH"
"Chasing Cars","Snow Patrol","","SEARCH"
"How to Save a Life","The Fray","","SEARCH"
"What a Wonderful World","Louis Armstrong","","SEARCH"
"Unchained Melody","The Righteous Brothers","","SEARCH"
"Yesterday","The Beatles","","SEARCH"
"Let It Be","The Beatles","","SEARCH"
"Hey Jude","The Beatles","","SEARCH"
"The Sound of Silence","Simon & Garfunkel","","SEARCH"
"Scarborough Fair","Simon & Garfunkel","","SEARCH"
"Hotel California","Eagles","","SEARCH"
"Yesterday Once More","Carpenters","","SEARCH"
"Top of the World","Carpenters","","SEARCH"
"Moon River","Andy Williams","","SEARCH"
"Unforgettable","Nat King Cole","","SEARCH"
"Can't Take My Eyes Off You","Frankie Valli","","SEARCH"
"Stand by Me","Ben E. King","","SEARCH"
"Nothing's Gonna Change My Love for You","Glenn Medeiros","","SEARCH"
"Vincent (Starry Starry Night)","Don McLean","","SEARCH"
"Hallelujah","Leonard Cohen","","SEARCH"
"Total Eclipse of the Heart","Bonnie Tyler","","SEARCH"
"Take My Breath Away","Berlin","","SEARCH"
"Careless Whisper","George Michael","","SEARCH"
"Billie Jean","Michael Jackson","","SEARCH"
"Beat It","Michael Jackson","","SEARCH"
"Heal the World","Michael Jackson","","SEARCH"
"Dancing Queen","ABBA","","SEARCH"
"My Heart Will Go On","Celine Dion","","SEARCH"
"I Don't Want to Miss a Thing","Aerosmith","","SEARCH"
"Tears in Heaven","Eric Clapton","","SEARCH"
"Truly Madly Deeply","Savage Garden","","SEARCH"
"I Want It That Way","Backstreet Boys","","SEARCH"
"You Raise Me Up","Westlife","","SEARCH"
"Big Big World","Emilia","","SEARCH"
"Beautiful in White","Westlife","","SEARCH"
"God Is a Girl","Groove Coverage","","SEARCH"
"Cry on My Shoulder","Alexander Klaws","","SEARCH"
"Waiting For Love","Avicii","1842927464","CSV"
"Wake Me Up","Avicii","26546088","CSV"
"The Nights","Avicii","1826923389","CSV"
"Hey Brother","Avicii","27713921","CSV"
"Levels","Avicii","28937926","CSV"
"This Is What You Came For","Calvin Harris / Rihanna","411314681","CSV"
"Feel So Close","Calvin Harris","16963280","CSV"
"Summer","Calvin Harris","28306554","CSV"
"One Kiss","Calvin Harris / Dua Lipa","","SEARCH"
"Miracle","Calvin Harris / Ellie Goulding","","SEARCH"
"There For You","Martin Garrix / Troye Sivan","480426313","CSV"
"In The Name Of Love","Martin Garrix","423227295","CSV"
"Scared To Be Lonely","Martin Garrix","456175020","CSV"
"Animals","Martin Garrix","","SEARCH"
"Solo Dance","Martin Jensen","439076364","CSV"
"Good Time","Owl City / Carly Rae Jepsen","17706562","CSV"
"Wolves","Selena Gomez / Marshmello","515269424","CSV"
"Happier","Marshmello","1302290019","CSV"
"Silence","Marshmello","497218032","CSV"
"Friends","Marshmello / Anne-Marie","1297986663","CSV"
"Closer","The Chainsmokers / Halsey","423228325","CSV"
"Something Just Like This","The Chainsmokers / Coldplay","461347998","CSV"
"Don't Let Me Down","The Chainsmokers / Daya","402070862","CSV"
"Paris","The Chainsmokers","453185808","CSV"
"Roses (Imanbek Remix)","The Chainsmokers / ROSÉ","","SEARCH"
"S&M","Rihanna","","SEARCH"
"We Found Love","Rihanna / Calvin Harris","3313334","CSV"
"Beauty And A Beat","Justin Bieber / Nicki Minaj","18637990","CSV"
"Sorry","Justin Bieber","35847559","CSV"
"What Do You Mean?","Justin Bieber","34228719","CSV"
"Clarity","Zedd","19902364","CSV"
"Stay","Zedd / Alessia Cara","","SEARCH"
"The Middle","Zedd","531051690","CSV"
"Don't You Worry Child","Swedish House Mafia","19196451","CSV"
"Where Are U Now","Skrillex","420125900","CSV"
"Alone","Alan Walker","444269135","CSV"
"On My Way","Alan Walker / Sabrina Carpenter / Farruko","2011072415","CSV"
"The Spectre","Alan Walker","","SEARCH"
"All Falls Down","Alan Walker / Noah Cyrus","","SEARCH"
"Firestone","Kygo / Conrad Sewell","29771432","CSV"
"Stole the Show","Kygo / Parson James","31066470","CSV"
"Titanium","David Guetta / Sia","3406918","CSV"
"Salt","Ava Max","1480204501","CSV"
"Unity","TheFatRat","29534449","CSV"
"On the Floor","Jennifer Lopez / Pitbull","","SEARCH"
"Give Me Everything","Pitbull / Ne-Yo / Afrojack","","SEARCH"
"Timber","Pitbull / Ke$ha","","SEARCH"
"Cold Heart","Dua Lipa / Elton John","2652793771","CSV"
"Rain On Me","Lady Gaga / Ariana Grande","1449991947","CSV"
"Rolling in the Deep","Adele","16435051","CSV"
"Halo","Beyoncé","2188235","CSV"
"Peaches","Justin Bieber / Daniel Caesar / GIVĒON","","SEARCH"
"Uptown Funk","Mark Ronson / Bruno Mars","29722263","CSV"
"Kill Bill","SZA","2004562490","CSV"
"Snooze","SZA","2004563430","CSV"
"Good Days","SZA","1806905006","CSV"
"SOS","SZA","2004563422","CSV"
"Diamonds","Rihanna","21563184","CSV"
"Umbrella","Rihanna / JAY-Z","21563094","CSV"
"Love on the Brain","Rihanna","401712020","CSV"
"Wild Thoughts","DJ Khaled / Rihanna / Bryson Tiller","485992658","CSV"
"Kiss Me More","Doja Cat","1855285578","CSV"
"Say So","Doja Cat","1401302504","CSV"
"Leave The Door Open","Silk Sonic","1824927085","CSV"
"Best Part","Daniel Caesar","514172235","CSV"
"Get You","Daniel Caesar / Kali Uchis","441116182","CSV"
"Location","Khalid","417250724","CSV"
"Talk","Khalid","1356131126","CSV"
"Love Lies","Khalid / Normani","","SEARCH"
"Hrs & Hrs","Muni Long","","SEARCH"
"About Damn Time","Lizzo","1938344407","CSV"
"Earned It","The Weeknd","29816628","CSV"
"The Hills","The Weeknd","32337668","CSV"
"Starboy","The Weeknd / Daft Punk","431610014","CSV"
"Die For You","The Weeknd","442867526","CSV"
"Hotline Bling","Drake","33599620","CSV"
"Redbone","Childish Gambino","441489378","CSV"
"Sure Thing","Miguel","2016284895","CSV"
"Adorn","Miguel","","SEARCH"
"Exchange","Bryson Tiller","","SEARCH"
"Heartbreak Anniversary","GIVĒON","1424400870","CSV"
"7 rings","Ariana Grande","1340558332","CSV"
"No Tears Left to Cry","Ariana Grande","553814210","CSV"
"Pink + White","Frank Ocean","","SEARCH"
"Water","Tyla","","SEARCH"
"Unholy","Sam Smith / Kim Petras","","SEARCH"
"See You Again","Wiz Khalifa / Charlie Puth","30953009","CSV"
"Love The Way You Lie","Eminem / Rihanna","1297841","CSV"
"The Monster","Eminem / Rihanna","27902187","CSV"
"Lose Yourself","Eminem","5052317","CSV"
"Not Afraid","Eminem","1297699","CSV"
"Mockingbird","Eminem","17572558","CSV"
"Without Me","Eminem","","SEARCH"
"Rap God","Eminem","","SEARCH"
"Sunflower","Post Malone / Swae Lee","","SEARCH"
"Circles","Post Malone","1387574419","CSV"
"Better Now","Post Malone","555974038","CSV"
"Rockstar","Post Malone","505828531","CSV"
"God's Plan","Drake","1437204419","CSV"
"One Dance","Drake","411349769","CSV"
"Nothing On You","B.o.B / Bruno Mars","5100769","CSV"
"Whistle","Flo Rida","17793698","CSV"
"Right Round","Flo Rida / Kesha","26658058","CSV"
"Can't Hold Us","Macklemore / Ryan Lewis","","SEARCH"
"Thrift Shop","Macklemore / Ryan Lewis","","SEARCH"
"Old Town Road","Lil Nas X / Billy Ray Cyrus","","SEARCH"
"Industry Baby","Lil Nas X / Jack Harlow","","SEARCH"
"Party Rock Anthem","LMFAO","","SEARCH"
"HUMBLE.","Kendrick Lamar","","SEARCH"
"Sicko Mode","Travis Scott","","SEARCH"
"Bohemian Rhapsody","Queen","1299712163","CSV"
"We Will Rock You","Queen","","SEARCH"
"We Are the Champions","Queen","","SEARCH"
"Yellow","Coldplay","17177324","CSV"
"Viva La Vida","Coldplay","3986017","CSV"
"A Sky Full of Stars","Coldplay","28528999","CSV"
"Paradise","Coldplay","17177380","CSV"
"Hymn For The Weekend","Coldplay","419594258","CSV"
"Adventure Of A Lifetime","Coldplay","36308623","CSV"
"The Scientist","Coldplay","17177367","CSV"
"Fix You","Coldplay","3986326","CSV"
"Believer","Imagine Dragons","1338149101","CSV"
"Radioactive","Imagine Dragons","28283983","CSV"
"Thunder","Imagine Dragons","3356622540","CSV"
"Demons","Imagine Dragons","19945735","CSV"
"Whatever It Takes","Imagine Dragons","3356622542","CSV"
"Bones","Imagine Dragons","1927389937","CSV"
"Enemy","Imagine Dragons / JIN","","SEARCH"
"Apologize","OneRepublic","21803604","CSV"
"Counting Stars","OneRepublic","26060065","CSV"
"I Ain't Worried","OneRepublic","1946813580","CSV"
"Love Runs Out","OneRepublic","28406990","CSV"
"Stressed Out","Twenty One Pilots","31654490","CSV"
"Heathens","Twenty One Pilots","417911175","CSV"
"Memories","Maroon 5","1852069909","CSV"
"Girls Like You","Maroon 5","569214321","CSV"
"She Will Be Loved","Maroon 5","","SEARCH"
"Since U Been Gone","Kelly Clarkson","16232632","CSV"
"Breakaway","Kelly Clarkson","2871299","CSV"
"Stronger","Kelly Clarkson","2870985","CSV"
"Complicated","Avril Lavigne","16431880","CSV"
"Running Up That Hill","Meg Myers","1349964388","CSV"
"good 4 u","Olivia Rodrigo","1846473653","CSV"
"deja vu","Olivia Rodrigo","1846473652","CSV"
"stupid song","Olivia Rodrigo","3392742809","CSV"
"Just Like Fire","P!nk","415126537","CSV"
"Raise Your Glass","P!nk","3226001","CSV"
"Try","P!nk","","SEARCH"
"Seven Nation Army","The White Stripes","21968164","CSV"
"Mr. Brightside","The Killers","24603571","CSV"
"It's My Life","Bon Jovi","","SEARCH"
"Numb","Linkin Park","","SEARCH"
"In the End","Linkin Park","","SEARCH"
"21 Guns","Green Day","","SEARCH"
"Wake Me Up When September Ends","Green Day","","SEARCH"
"Zombie","The Cranberries","","SEARCH"
"Smells Like Teen Spirit","Nirvana","","SEARCH"
"Use Somebody","Kings of Leon","","SEARCH"
"Wrecking Ball","Miley Cyrus","27697195","CSV"
"Lemon Tree","Fool's Garden","35724589","CSV"
"Five Hundred Miles","Justin Timberlake / Carey Mulligan / Stark Sands","27759600","CSV"
"Heat Waves","Glass Animals","1496764168","CSV"
"Riptide","Vance Joy","29129545","CSV"
"I'm Yours","Jason Mraz","18611643","CSV"
"Lucky","Jason Mraz / Colbie Caillat","18611599","CSV"
"Hey, Soul Sister","Train","5097733","CSV"
"Hall of Fame","The Script / will.i.am","19542337","CSV"
"Ho Hey","The Lumineers","4170558","CSV"
"Ophelia","The Lumineers","402668464","CSV"
"I Will Wait","Mumford & Sons","","SEARCH"
"Little Talks","Of Monsters and Men","17810604","CSV"
"The Rose","Bette Midler","","SEARCH"
"Best Day of My Life","American Authors","","SEARCH"
"Dandelions","Ruth B","","SEARCH"
"Until I Found You","Stephen Sanchez","","SEARCH"
"Budapest","George Ezra","27938268","CSV"
"Everything Has Changed","Taylor Swift / Ed Sheeran","19292812","CSV"
"Galway Girl","Ed Sheeran","","SEARCH"
"Stick Season","Noah Kahan","1989318036","CSV"
"Northern Attitude","Noah Kahan","2054154146","CSV"
"BIRDS OF A FEATHER","Billie Eilish","2154850334","CSV"
"WILDFLOWER","Billie Eilish","2154851107","CSV"
"lovely","Billie Eilish / Khalid","552448704","CSV"
"ocean eyes","Billie Eilish","399343818","CSV"
"Take Me Home, Country Roads","John Denver","27448352","CSV"
"Tennessee Whiskey","Chris Stapleton","31789305","CSV"
"Fast Car","Luke Combs","2030754234","CSV"
"The Climb","Miley Cyrus","17217944","CSV"
"Need You Now","Lady Antebellum","1469748657","CSV"
"If I Die Young","The Band Perry","28157586","CSV"
"Before He Cheats","Carrie Underwood","17110642","CSV"
"Bless the Broken Road","Rascal Flatts","1873259","CSV"
"10,000 Hours","Dan + Shay","1394494933","CSV"
"Meant to Be","Bebe Rexha","497131617","CSV"
"Jolene","Dolly Parton","","SEARCH"
"Love Story","Taylor Swift","19292984","CSV"
"You Belong With Me","Taylor Swift","19292987","CSV"
"Fearless","Taylor Swift","19292982","CSV"
"Enchanted","Taylor Swift","19292852","CSV"
"Back To December","Taylor Swift","19293014","CSV"
"Mine","Taylor Swift","19293015","CSV"
"All Too Well","Taylor Swift","25787219","CSV"
"Red","Taylor Swift","19292800","CSV"
"Stay Stay Stay","Taylor Swift","19292807","CSV"
"晴天","周杰伦","","SEARCH"
"七里香","周杰伦","","SEARCH"
"简单爱","周杰伦","","SEARCH"
"稻香","周杰伦","","SEARCH"
"青花瓷","周杰伦","","SEARCH"
"告白气球","周杰伦","","SEARCH"
"夜曲","周杰伦","","SEARCH"
"安静","周杰伦","","SEARCH"
"蒲公英的约定","周杰伦","","SEARCH"
"龙卷风","周杰伦","","SEARCH"
"说好的幸福呢","周杰伦","","SEARCH"
"彩虹","周杰伦","","SEARCH"
"江南","林俊杰","","SEARCH"
"可惜没如果","林俊杰","","SEARCH"
"修炼爱情","林俊杰","","SEARCH"
"她说","林俊杰","","SEARCH"
"一千年以后","林俊杰","","SEARCH"
"那些你很冒险的梦","林俊杰","","SEARCH"
"大城小爱","王力宏","","SEARCH"
"你不知道的事","王力宏","","SEARCH"
"依然爱你","王力宏","","SEARCH"
"十年","陈奕迅","","SEARCH"
"好久不见","陈奕迅","","SEARCH"
"红豆","王菲","","SEARCH"
"我愿意","王菲","","SEARCH"
"匆匆那年","王菲","","SEARCH"
"人间","王菲","","SEARCH"
"遇见","孙燕姿","","SEARCH"
"天黑黑","孙燕姿","","SEARCH"
"开始懂了","孙燕姿","","SEARCH"
"可惜不是你","梁静茹","","SEARCH"
"暖暖","梁静茹","","SEARCH"
"光年之外","G.E.M.邓紫棋","","SEARCH"
"泡沫","G.E.M.邓紫棋","","SEARCH"
"小幸运","田馥甄","","SEARCH"
"你曾是少年","S.H.E","","SEARCH"
"月亮代表我的心","邓丽君","","SEARCH"
"甜蜜蜜","邓丽君","","SEARCH"
"我只在乎你","邓丽君","","SEARCH"
"但愿人长久","王菲","","SEARCH"
"吻别","张学友","","SEARCH"
"她来听我的演唱会","张学友","","SEARCH"
"一千个伤心的理由","张学友","","SEARCH"
"忘情水","刘德华","","SEARCH"
"朋友","周华健","","SEARCH"
"爱如潮水","张信哲","","SEARCH"
"过火","张信哲","","SEARCH"
"信仰","张信哲","","SEARCH"
"至少还有你","林忆莲","","SEARCH"
"听海","张惠妹","","SEARCH"
"分手快乐","梁静茹","","SEARCH"
"勇气","梁静茹","","SEARCH"
"小情歌","苏打绿","","SEARCH"
"童话","光良","","SEARCH"
"当","动力火车","","SEARCH"
"隐形的翅膀","张韶涵","","SEARCH"
"王妃","萧敬腾","","SEARCH"
"日不落","蔡依林","","SEARCH"
"第一次爱的人","王心凌","","SEARCH"
"漂洋过海来看你","娃娃","","SEARCH"
"山丘","李宗盛","","SEARCH"
"给自己的歌","李宗盛","","SEARCH"
"很爱很爱你","刘若英","","SEARCH"
"后来","刘若英","","SEARCH"
"最浪漫的事","赵咏华","","SEARCH"
"征服","那英","","SEARCH"
"一场游戏一场梦","王杰","","SEARCH"
"记事本","周蕙","","SEARCH"
"西海情歌","刀郎","","SEARCH"
"起风了","买辣椒也用券","","SEARCH"
"孤勇者","陈奕迅","","SEARCH"
"如愿","王菲","","SEARCH"
"大鱼","周深","","SEARCH"
"年少有为","李荣浩","","SEARCH"
"乌梅子酱","李荣浩","","SEARCH"
"演员","薛之谦","","SEARCH"
"刚刚好","薛之谦","","SEARCH"
"消愁","毛不易","","SEARCH"
"像我这样的人","毛不易","","SEARCH"
"有何不可","许嵩","","SEARCH"
"清明雨上","许嵩","","SEARCH"
"唯一","告五人","","SEARCH"
"爱人错过","告五人","","SEARCH"
"小半","陈粒","","SEARCH"
"少年","梦然","","SEARCH"
"你的答案","阿冗","","SEARCH"
"大眠","王心凌","","SEARCH"
"错位时空","艾辰","","SEARCH"
"漠河舞厅","柳爽","","SEARCH"
"向云端","小阿七","","SEARCH"
"罗刹海市","刀郎","","SEARCH"
"若月亮没来","王宇宙Leto / 乔浚丞","","SEARCH"
"可能","程响","","SEARCH"
"倔强","五月天","","SEARCH"
"突然好想你","五月天","","SEARCH"
"知足","五月天","","SEARCH"
"温柔","五月天","","SEARCH"
"恋爱ING","五月天","","SEARCH"
"后来的我们","五月天","","SEARCH"
"你不是真正的快乐","五月天","","SEARCH"
"干杯","五月天","","SEARCH"
"夜空中最亮的星","逃跑计划","","SEARCH"
"平凡之路","朴树","","SEARCH"
"那些花儿","朴树","","SEARCH"
"生如夏花","朴树","","SEARCH"
"蓝莲花","许巍","","SEARCH"
"曾经的你","许巍","","SEARCH"
"春天里","汪峰","","SEARCH"
"你要跳舞吗","新裤子","","SEARCH"
"没有理想的人不伤心","新裤子","","SEARCH"
"追梦赤子心","GALA","","SEARCH"
"一无所有","崔健","","SEARCH"
"无地自容","黑豹乐队","","SEARCH"
"公路之歌","痛仰乐队","","SEARCH"
"杀死那个石家庄人","万能青年旅店","","SEARCH"
"死了都要爱","信乐团","","SEARCH"
"我们的爱","F.I.R.飞儿乐团","","SEARCH"
"成都","赵雷","","SEARCH"
"我记得","赵雷","","SEARCH"
"南山南","马頔","","SEARCH"
"傲寒","马頔","","SEARCH"
"斑马斑马","宋冬野","","SEARCH"
"安和桥","宋冬野","","SEARCH"
"贝加尔湖畔","李健","","SEARCH"
"传奇","李健","","SEARCH"
"一生有你","水木年华","","SEARCH"
"同桌的你","老狼","","SEARCH"
"菊花台","周杰伦","","SEARCH"
"东风破","周杰伦","","SEARCH"
"烟花易冷","周杰伦","","SEARCH"
"兰亭序","周杰伦","","SEARCH"
"沧海一声笑","许冠杰","","SEARCH"
"画心","张靓颖","","SEARCH"
"卷珠帘","霍尊","","SEARCH"
"知否知否","胡夏 / 郁可唯","","SEARCH"
"千年等一回","慧妮","","SEARCH"
"好汉歌","刘欢","","SEARCH"
