"cls","id","title","artist"
"track-sim","516818337","Getaway Car","Taylor Swift"
"track-sim","2652793771","Cold Heart","Dua Lipa / Elton John"
"track-own","25657274","Talking to the Moon","Bruno Mars"
"track-own","2411634","A Thousand Years","Christina Perri"
"track-own","29966565","Love Me Like You Do","Ellie Goulding"
"track-own","27556211","All of Me","John Legend"
"track-own","16232697","Because of You","Kelly Clarkson"
"track-own","1803545978","Someone You Loved","Lewis Capaldi"
"track-own","28718313","The Way I Still Love You","Reynard Silva"
"track-own","460043703","Perfect","Ed Sheeran"
"track-own","28680438","Thinking out Loud","Ed Sheeran"
"track-own","35847388","Hello","Adele"
"track-own","36841427","Love In The Dark","Adele"
"track-own","16435049","Someone Like You","Adele"
"track-own","402073823","When We Were Young","Adele"
"track-sim","25657236","When I Was Your Man","Bruno Mars"
"track-sim","25657241","It Will Rain","Bruno Mars"
"track-sim","1887190390","Easy On Me","Adele"
"track-sim","2117009","Set Fire to the Rain","Adele"
"track-sim","36841428","All I Ask","Adele"
"track-sim","1404805139","Before You Go","Lewis Capaldi"
"track-sim","484755612","Bruises","Lewis Capaldi"
"track-sim","429528027","Say You Won't Let Go","James Arthur"
"track-sim","25706371","Impossible","James Arthur"
"track-sim","18161816","Let Her Go","Passenger"
"track-sim","28586064","I'm Not The Only One","Sam Smith"
"track-sim","504492140","Too Good At Goodbyes","Sam Smith"
"track-sim","1350601781","Arcade","Duncan Laurence"
"track-sim","483578822","Skyfall","Killer Babe / Paul Epworth / Adele"
"track-sim","17081098","Jar of Hearts","Christina Perri"
"track-sim","28208046","Say Something","A Great Big World"
"track-sim","28531849","Stay With Me","Sam Smith"
"track-sim","1415476474","Conversations in the Dark","John Legend"
"track-sim","26608879","Burn","Ellie Goulding"
"track-sim","1946069","Turning Page","Sleeping at Last"
"track-sim","1470274244","Can't Help Falling in Love","Elvis Presley"
"track-sim","26867112","My Love","Westlife"
"track-sim","1374446646","I Love You 3000","Stephanie Poetri"
"track-sim","28287954","Only Love Can Hurt Like This","Paloma Faith"
"track-sim","21568021","Right Here Waiting","Richard Marx"
"track-sim","1313096578","Shallow","Lady Gaga / Bradley Cooper"
"track-own","447925342","Meant To Be","Arc North / Krista Marina"
"track-own","1842927464","Waiting For Love","Avicii"
"track-own","411314681","This Is What You Came For","Calvin Harris / Rihanna"
"track-own","1446828061","Run Free","Deep Chills / IVIE"
"track-own","2054248953","Shots (Broiler Remix)","Imagine Dragons / Broiler"
"track-own","1952112969","Go Again","King CAAN / Elysa"
"track-own","480426313","There For You","Martin Garrix / Troye Sivan"
"track-own","439076364","Solo Dance","Martin Jensen"
"track-own","17706562","Good Time","Owl City / Carly Rae Jepsen"
"track-own","515269424","Wolves","Selena Gomez / Marshmello"
"track-own","1297498908","Walk Thru Fire","Vicetone / Meron Ryan"
"track-own","3313334","We Found Love","Rihanna / Calvin Harris"
"track-own","423228325","Closer","The Chainsmokers / Halsey"
"track-own","461347998","Something Just Like This","The Chainsmokers / Coldplay"
"track-own","18637990","Beauty And A Beat","Justin Bieber / Nicki Minaj"
"track-own","35847559","Sorry","Justin Bieber"
"track-own","34228719","What Do You Mean?","Justin Bieber"
"track-sim","26546088","Wake Me Up","Avicii"
"track-sim","1826923389","The Nights","Avicii"
"track-sim","27713921","Hey Brother","Avicii"
"track-sim","19902364","Clarity","Zedd"
"track-sim","461518855","Stay","Zedd, Alessia Cara"
"track-sim","531051690","The Middle","Zedd"
"track-sim","19196451","Don't You Worry Child","Swedish House Mafia"
"track-sim","423227295","In The Name Of Love","Martin Garrix"
"track-sim","456175020","Scared To Be Lonely","Martin Garrix"
"track-sim","16963280","Feel So Close","Calvin Harris"
"track-sim","28306554","Summer","Calvin Harris"
"track-sim","1302290019","Happier","Marshmello"
"track-sim","497218032","Silence","Marshmello"
"track-sim","420125900","Where Are U Now","Skrillex"
"track-sim","28937926","Levels","Avicii"
"track-sim","444269135","Alone","Alan Walker"
"track-sim","2011072415","On My Way","Alan Walker / Sabrina Carpenter / Farruko"
"track-sim","29771432","Firestone","Kygo / Conrad Sewell"
"track-sim","31066470","Stole the Show","Kygo / Parson James"
"track-sim","402070862","Don't Let Me Down","The Chainsmokers / Daya"
"track-sim","453185808","Paris","The Chainsmokers"
"track-sim","1297986663","Friends","Marshmello / Anne-Marie"
"track-sim","1480204501","Salt","Ava Max"
"track-sim","29534449","Unity","TheFatRat"
"track-sim","30474763","My Heart","Different Heaven / EH!DE"
"track-sim","559701010","Ignite","K-391 / Alan Walker / Julie Bergan / 胜利"
"track-sim","1301533647","Hope","Tobu"
"track-sim","451126088","Sky High","Elektronomia"
"track-own","16435051","Rolling in the Deep","Adele"
"track-own","2188235","Halo","Beyoncé"
"track-own","1830419924","Peaches","Justin Bieber / Daniel Caesar / GIVON"
"track-own","29722263","Uptown Funk","Mark Ronson / Bruno Mars"
"track-own","2004562490","Kill Bill","SZA"
"track-own","21563184","Diamonds","Rihanna"
"track-own","21563094","Umbrella","Rihanna / JAY-Z"
"track-sim","1806905006","Good Days","SZA"
"track-sim","2004563422","SOS","SZA"
"track-sim","1855285578","Kiss Me More","Doja Cat"
"track-sim","1401302504","Say So","Doja Cat"
"track-sim","1824927085","Leave The Door Open","Silk Sonic"
"track-sim","514172235","Best Part","Daniel Caesar"
"track-sim","417250724","Location","Khalid"
"track-sim","1356131126","Talk","Khalid"
"track-sim","1960287347","Hrs &amp; Hrs","Muni Long"
"track-sim","1938344407","About Damn Time","Lizzo"
"track-sim","2004563430","Snooze","SZA"
"track-sim","29816628","Earned It","The Weeknd"
"track-sim","32337668","The Hills","The Weeknd"
"track-sim","33599620","Hotline Bling","Drake"
"track-sim","441489378","Redbone","Childish Gambino"
"track-sim","2016284895","Sure Thing","Miguel"
"track-sim","441116182","Get You","Daniel Caesar / Kali Uchis"
"track-sim","1424400870","Heartbreak Anniversary","GIVĒON"
"track-sim","401712020","Love on the Brain","Rihanna"
"track-sim","485992658","Wild Thoughts","DJ Khaled / Rihanna / Bryson Tiller"
"track-own","5100769","Nothing On You","B.o.B / Bruno Mars"
"track-own","17793698","Whistle","Flo Rida"
"track-own","21157332","One Day","Matisyahu"
"track-own","30953009","See You Again","Wiz Khalifa / Charlie Puth"
"track-own","1297841","Love The Way You Lie","Eminem / Rihanna"
"track-own","27902187","The Monster","Eminem / Rihanna"
"track-sim","1389016149","Sunflower","Post Malone"
"track-sim","1387574419","Circles","Post Malone"
"track-sim","555974038","Better Now","Post Malone"
"track-sim","505828531","Rockstar","Post Malone"
"track-sim","1437204419","God's Plan","Drake"
"track-sim","411349769","One Dance","Drake"
"track-sim","5052317","Lose Yourself","Eminem"
"track-sim","1297699","Not Afraid","Eminem"
"track-sim","17572558","Mockingbird","Eminem"
"track-sim","26244634","Can't Hold Us","Macklemore / Macklemore &amp; Ryan Lewis"
"track-sim","26658058","Right Round","Flo Rida / Kesha"
"track-sim","25677802","Thrift Shop","Macklemore &amp; Ryan Lewis"
"track-own","17177324","Yellow","Coldplay"
"track-own","1338149101","Believer","Imagine Dragons"
"track-own","2870985","Stronger","Kelly Clarkson"
"track-own","1349964388","Running Up That Hill","Meg Myers"
"track-own","19292799","State Of Grace","Taylor Swift"
"track-own","27896566","Bitchin' Summer","Avril Lavigne"
"track-own","26145391","Here's to Never Growing Up","Avril Lavigne"
"track-own","3370511577","drop dead","Olivia Rodrigo"
"track-own","3392742809","stupid song","Olivia Rodrigo"
"track-own","21803604","Apologize","OneRepublic"
"track-own","26060065","Counting Stars","OneRepublic"
"track-own","415126537","Just Like Fire","P!nk"
"track-own","3226001","Raise Your Glass","P!nk"
"track-sim","3986017","Viva La Vida","Coldplay"
"track-sim","28528999","A Sky Full of Stars","Coldplay"
"track-sim","17177380","Paradise","Coldplay"
"track-sim","419594258","Hymn For The Weekend","Coldplay"
"track-sim","36308623","Adventure Of A Lifetime","Coldplay"
"track-sim","28283983","Radioactive","Imagine Dragons"
"track-sim","3356622540","Thunder","Imagine Dragons"
"track-sim","19945735","Demons","Imagine Dragons"
"track-sim","3356622542","Whatever It Takes","Imagine Dragons"
"track-sim","1927389937","Bones","Imagine Dragons"
"track-sim","31654490","Stressed Out","Twenty One Pilots"
"track-sim","417911175","Heathens","Twenty One Pilots"
"track-sim","1852069909","Memories","Maroon 5"
"track-sim","569214321","Girls Like You","Maroon 5"
"track-sim","17177367","The Scientist","Coldplay"
"track-sim","3986326","Fix You","Coldplay"
"track-sim","1946813580","I Ain't Worried","OneRepublic"
"track-sim","28406990","Love Runs Out","OneRepublic"
"track-sim","16232632","Since U Been Gone","Kelly Clarkson"
"track-sim","2871299","Breakaway","Kelly Clarkson"
"track-sim","16431880","Complicated","Avril Lavigne"
"track-sim","16431842","Innocence","Avril Lavigne"
"track-sim","1846473653","good 4 u","Olivia Rodrigo"
"track-sim","1846473652","deja vu","Olivia Rodrigo"
"track-sim","21968164","Seven Nation Army","The White Stripes"
"track-sim","24603571","Mr. Brightside","The Killers"
"track-sim","1299712163","Bohemian Rhapsody","Queen"
"track-sim","16432049","When You're Gone","Avril Lavigne"
"track-own","35724589","Lemon Tree","Fool's Garden"
"track-own","1496764168","Heat Waves","Glass Animals"
"track-own","27759600","Five Hundred Miles","Justin Timberlake / Carey Mulligan / Stark Sands"
"track-own","33728982","Gold","Kiiara"
"track-own","19292812","Everything Has Changed","Taylor Swift / Ed Sheeran"
"track-own","4433364","Summer Vibe","Walk off the Earth"
"track-own","2154850334","BIRDS OF A FEATHER","Billie Eilish"
"track-own","2154851107","WILDFLOWER","Billie Eilish"
"track-own","460043708","What Do I Know?","Ed Sheeran"
"track-sim","1989318036","Stick Season","Noah Kahan"
"track-sim","2054154146","Northern Attitude","Noah Kahan"
"track-sim","27848769","Bloom","The Paper Kites"
"track-sim","27938268","Budapest","George Ezra"
"track-sim","4170558","Ho Hey","The Lumineers"
"track-sim","402668464","Ophelia","The Lumineers"
"track-sim","17212692","I Will Wait","Mumford &amp; Sons"
"track-sim","17810604","Little Talks","Of Monsters and Men"
"track-sim","552448704","lovely","Billie Eilish / Khalid"
"track-sim","399343818","ocean eyes","Billie Eilish"
"track-sim","18611643","I'm Yours","Jason Mraz"
"track-sim","18611599","Lucky","Jason Mraz / Colbie Caillat"
"track-sim","5097733","Hey, Soul Sister","Train"
"track-sim","29129545","Riptide","Vance Joy"
"track-sim","19542337","Hall of Fame","The Script / will.i.am"
"track-sim","432821657","This Town","Niall Horan"
"track-own","28157586","If I Die Young","The Band Perry"
"track-own","25787219","All Too Well","Taylor Swift"
"track-own","19292982","Fearless","Taylor Swift"
"track-own","19292805","I Almost Do","Taylor Swift"
"track-own","19292984","Love Story","Taylor Swift"
"track-own","19292800","Red","Taylor Swift"
"track-own","19292807","Stay Stay Stay","Taylor Swift"
"track-sim","1469748657","Need You Now","Lady Antebellum"
"track-sim","17110642","Before He Cheats","Carrie Underwood"
"track-sim","497131617","Meant to Be","Bebe Rexha"
"track-sim","560032384","Speechless","Dan + Shay"
"track-sim","1394494933","10,000 Hours","Dan + Shay"
"track-sim","1483378063","More Hearts Than Mine","Ingrid Andress"
"track-sim","1440568801","I Hope","Gabby Barrett"
"track-sim","2030754234","Fast Car","Luke Combs"
"track-sim","19292987","You Belong With Me","Taylor Swift"
"track-sim","19293015","Mine","Taylor Swift"
"track-sim","19292852","Enchanted","Taylor Swift"
"track-sim","19293014","Back To December","Taylor Swift"
"track-sim","17217944","The Climb","Miley Cyrus"
"track-sim","1873259","Bless the Broken Road","Rascal Flatts"
"track-sim","27448352","Take Me Home, Country Roads","John Denver"
"track-sim","31789305","Tennessee Whiskey","Chris Stapleton"
